batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
50;12628;87614;0.6027397260273972;0.0042246759481517045;0.0042246759481517045;0.008390541571319604;0.008390541571319604;10415.0;10415.0;44.0;73;73.0;1.0;72.0;0.0
51;12883;89413;0.6962025316455697;0.005175496377152536;0.005175496377152536;0.010274612366897065;0.010274612366897065;10627.0;10627.0;55.0;79;79.0;1.0;78.0;0.0
52;13147;91122;0.6493506493506493;0.004613823013749192;0.004613823013749192;0.009162543522081729;0.009162543522081729;10837.0;10837.0;50.0;77;77.0;1.0;76.0;0.0
53;13391;92898;0.6323529411764706;0.003897751994198695;0.003897751994198695;0.007747747747747747;0.007747747747747747;11032.0;11032.0;43.0;68;68.0;2.0;66.0;0.0
54;13640;94698;0.5375;0.0038256227758007117;0.0038256227758007117;0.007597173144876325;0.007597173144876325;11240.0;11240.0;43.0;80;80.0;1.0;79.0;0.0
55;13897;96395;0.611764705882353;0.004539502400698385;0.004539502400698385;0.009012131715771232;0.009012131715771232;11455.0;11455.0;52.0;85;85.0;1.0;84.0;0.0
56;14134;98197;0.5974025974025974;0.00395155055407611;0.00395155055407611;0.007851169141491721;0.007851169141491721;11641.0;11641.0;46.0;77;77.0;2.0;75.0;0.0
57;14390;100000;0.4878048780487805;0.003374673078545516;0.003374673078545516;0.00670297444490993;0.00670297444490993;11853.0;11853.0;40.0;82;82.0;2.0;80.0;0.0
58;14607;101702;0.6833333333333333;0.0034075797872340427;0.0034075797872340427;0.006781343036718492;0.006781343036718492;12032.0;12032.0;41.0;60;60.0;2.0;58.0;0.0
59;14856;103450;0.6290322580645161;0.0031857539617709523;0.0031857539617709523;0.006339401820546165;0.006339401820546165;12242.0;12242.0;39.0;62;62.0;1.0;61.0;0.0
60;15112;105260;0.55;0.003531300160513644;0.003531300160513644;0.007017543859649124;0.007017543859649124;12460.0;12460.0;44.0;80;80.0;0;80.0;0.0
61;15345;106964;0.7384615384615385;0.0037947663846944423;0.0037947663846944423;0.0075507314771118455;0.0075507314771118455;12649.0;12649.0;48.0;65;65.0;2.0;63.0;0.0
62;15584;108790;0.6296296296296297;0.003971344027410061;0.003971344027410061;0.007892904124429313;0.007892904124429313;12842.0;12842.0;51.0;81;81.0;0;81.0;0.0
63;15843;110481;0.6455696202531646;0.003908045977011494;0.003908045977011494;0.0077690608576433855;0.0077690608576433855;13050.0;13050.0;51.0;79;79.0;2.0;77.0;0.0
64;16137;112188;0.6736842105263158;0.004813839789394509;0.004813839789394509;0.009559372666168783;0.009559372666168783;13295.0;13295.0;64.0;95;95.0;0;95.0;0.0
65;16401;113923;0.6210526315789474;0.004371989625787329;0.004371989625787329;0.008682855040470934;0.008682855040470934;13495.0;13495.0;59.0;95;95.0;2.0;93.0;0.0
66;16642;115698;0.4852941176470588;0.0024124570509540173;0.0024124570509540173;0.004801047501273006;0.004801047501273006;13679.0;13679.0;33.0;68;68.0;0;68.0;0.0
67;16911;117441;0.6022727272727273;0.003808839381961912;0.003808839381961912;0.007569806470042135;0.007569806470042135;13915.0;13915.0;53.0;88;88.0;2.0;86.0;0.0
68;17168;119143;0.6486486486486487;0.0033991926917357126;0.0033991926917357126;0.006762944698837619;0.006762944698837619;14121.0;14121.0;48.0;74;74.0;1.0;73.0;0.0
69;17403;120960;0.5232558139534884;0.003144873855615347;0.003144873855615347;0.006252170892671066;0.006252170892671066;14309.0;14309.0;45.0;86;86.0;7.0;79.0;0.0
70;17641;122664;0.6190476190476191;0.002687986766834379;0.002687986766834379;0.005352731265440572;0.005352731265440572;14509.0;14509.0;39.0;63;63.0;2.0;61.0;0.0
71;17916;124400;0.6;0.0030514680952058045;0.0030514680952058045;0.00607205505329915;0.00607205505329915;14747.0;14747.0;45.0;75;75.0;1.0;74.0;0.0
72;18148;126218;0.5795454545454546;0.0034147974556411114;0.0034147974556411114;0.006789589296412169;0.006789589296412169;14935.0;14935.0;51.0;88;88.0;2.0;86.0;0.0
73;18397;127938;0.611764705882353;0.0034357449620085892;0.0034357449620085892;0.006833114323258869;0.006833114323258869;15135.0;15135.0;52.0;85;85.0;4.0;81.0;0.0
74;18644;129773;0.5376344086021505;0.0032607277944437197;0.0032607277944437197;0.0064821416996175526;0.0064821416996175526;15334.0;15334.0;50.0;93;93.0;2.0;91.0;0.0
75;18883;131567;0.6533333333333333;0.0031561996779388085;0.0031561996779388085;0.006282051282051282;0.006282051282051282;15525.0;15525.0;49.0;75;75.0;1.0;74.0;0.0
76;19144;133300;0.632183908045977;0.0034947261405515314;0.0034947261405515314;0.0069510268562401265;0.0069510268562401265;15738.0;15738.0;55.0;87;87.0;4.0;83.0;0.0
77;19415;134985;0.5333333333333333;0.003007895726281489;0.003007895726281489;0.005982053838484547;0.005982053838484547;15958.0;15958.0;48.0;90;90.0;4.0;86.0;0.0
78;19676;136705;0.6046511627906976;0.00321483771251932;0.00321483771251932;0.006395670622962917;0.006395670622962917;16175.0;16175.0;52.0;86;86.0;1.0;85.0;0.0
79;19938;138512;0.5135135135135135;0.002319052849993897;0.002319052849993897;0.004617253948967193;0.004617253948967193;16386.0;16386.0;38.0;74;74.0;4.0;70.0;0.0
80;20201;140253;0.6756756756756757;0.003009328919650918;0.003009328919650918;0.005991970759182696;0.005991970759182696;16615.0;16615.0;50.0;74;74.0;1.0;73.0;0.0
81;20446;142112;0.4431818181818182;0.0023199095830111235;0.0023199095830111235;0.004615657731226699;0.004615657731226699;16811.0;16811.0;39.0;88;88.0;1.0;87.0;0.0
82;20688;143743;0.5131578947368421;0.002292095210108728;0.002292095210108728;0.00456380551167281;0.00456380551167281;17015.0;17015.0;39.0;76;76.0;1.0;75.0;0.0
83;20942;145520;0.5873015873015873;0.0021472926701874527;0.0021472926701874527;0.004278940673065803;0.004278940673065803;17231.0;17231.0;37.0;63;63.0;1.0;62.0;0.0
84;21188;147313;0.6179775280898876;0.003153488905452669;0.003153488905452669;0.006274957216200799;0.006274957216200799;17441.0;17441.0;55.0;89;89.0;2.0;87.0;0.0
85;21443;149064;0.5;0.0026639460409227456;0.0026639460409227456;0.005299656086147601;0.005299656086147601;17643.0;17643.0;47.0;94;94.0;3.0;91.0;0.0
86;21708;150822;0.53125;0.0028549037169726824;0.0028549037169726824;0.005679287305122494;0.005679287305122494;17864.0;17864.0;51.0;96;96.0;4.0;92.0;0.0
87;21953;152491;0.578125;0.0020484996124460193;0.0020484996124460193;0.00408253337746883;0.00408253337746883;18062.0;18062.0;37.0;64;64.0;1.0;63.0;0.0
88;22208;154259;0.5441176470588235;0.002023959302007549;0.002023959302007549;0.004032917325194834;0.004032917325194834;18281.0;18281.0;37.0;68;68.0;1.0;67.0;0.0
89;22472;156069;0.5679012345679012;0.0024852774326003567;0.0024852774326003567;0.004948897256589564;0.004948897256589564;18509.0;18509.0;46.0;81;81.0;2.0;79.0;0.0
90;22722;157745;0.5301204819277109;0.002351055303232701;0.002351055303232701;0.004681349079689329;0.004681349079689329;18715.0;18715.0;44.0;83;83.0;2.0;81.0;0.0
91;22973;159524;0.6145833333333334;0.0031177340942718243;0.0031177340942718243;0.006203995793901157;0.006203995793901157;18924.0;18924.0;59.0;96;96.0;1.0;95.0;0.0
92;23233;161354;0.5333333333333333;0.002509672696852452;0.002509672696852452;0.004995836802664446;0.004995836802664446;19126.0;19126.0;48.0;90;90.0;1.0;89.0;0.0
93;23470;163071;0.75;0.0031062331745703043;0.0031062331745703043;0.006186842647968653;0.006186842647968653;19316.0;19316.0;60.0;80;80.0;2.0;78.0;0.0
94;23719;164770;0.7192982456140351;0.0021018096068078124;0.0021018096068078124;0.00419137190758536;0.00419137190758536;19507.0;19507.0;41.0;57;57.0;1.0;56.0;0.0
95;23982;166533;0.6464646464646465;0.0032437911809427267;0.0032437911809427267;0.006455191890665187;0.006455191890665187;19730.0;19730.0;64.0;99;99.0;1.0;98.0;0.0
96;24224;168285;0.573170731707317;0.0023607413732482795;0.0023607413732482795;0.00470211595217848;0.00470211595217848;19909.0;19909.0;47.0;82;82.0;1.0;81.0;0.0
97;24477;170029;0.632183908045977;0.0027341419765360905;0.0027341419765360905;0.00544473593030738;0.00544473593030738;20116.0;20116.0;55.0;87;87.0;1.0;86.0;0.0
98;24729;171772;0.6153846153846154;0.0023629024318204193;0.0023629024318204193;0.0047077285209886225;0.0047077285209886225;20314.0;20314.0;48.0;78;78.0;4.0;74.0;0.0
99;24979;173540;0.6666666666666666;0.0029239766081871343;0.0029239766081871343;0.005822416302765648;0.005822416302765648;20520.0;20520.0;60.0;90;90.0;2.0;88.0;0.0
100;25248;175334;0.68;0.0024600839322753364;0.0024600839322753364;0.004902431990771892;0.004902431990771892;20731.0;20731.0;51.0;75;75.0;1.0;74.0;0.0
