infer_mode;features;train_using_all_batches;batch;featurizer;attribute;feature;weight
all;incremental;False;1;OccurAttrFeaturizer;position;position;0.0
all;incremental;False;1;OccurAttrFeaturizer;position;team;0.949
all;incremental;False;1;OccurAttrFeaturizer;position;city;0.595
all;incremental;False;1;OccurAttrFeaturizer;position;stadium;0.371
all;incremental;False;1;OccurAttrFeaturizer;position;season;0.021
all;incremental;False;1;OccurAttrFeaturizer;position;manager;1.068
all;incremental;False;1;OccurAttrFeaturizer;season;name;2.127
all;incremental;False;1;OccurAttrFeaturizer;season;surname;1.976
all;incremental;False;1;OccurAttrFeaturizer;season;birthyear;0.426
all;incremental;False;1;OccurAttrFeaturizer;season;birthplace;1.501
all;incremental;False;1;OccurAttrFeaturizer;season;position;0.46
all;incremental;False;1;OccurAttrFeaturizer;season;team;2.54
all;incremental;False;1;OccurAttrFeaturizer;season;city;1.316
all;incremental;False;1;OccurAttrFeaturizer;season;stadium;1.356
all;incremental;False;1;OccurAttrFeaturizer;season;season;0.0
all;incremental;False;1;OccurAttrFeaturizer;season;manager;3.043
all;incremental;False;1;OccurAttrFeaturizer;stadium;name;1.895
all;incremental;False;1;OccurAttrFeaturizer;stadium;surname;1.885
all;incremental;False;1;OccurAttrFeaturizer;stadium;birthyear;0.289
all;incremental;False;1;OccurAttrFeaturizer;stadium;birthplace;1.284
all;incremental;False;1;OccurAttrFeaturizer;stadium;position;0.063
all;incremental;False;1;OccurAttrFeaturizer;stadium;team;2.57
all;incremental;False;1;OccurAttrFeaturizer;stadium;city;2.679
all;incremental;False;1;OccurAttrFeaturizer;stadium;stadium;0.0
all;incremental;False;1;OccurAttrFeaturizer;stadium;season;0.432
all;incremental;False;1;OccurAttrFeaturizer;stadium;manager;1.532
all;incremental;False;1;OccurAttrFeaturizer;surname;name;5.594
all;incremental;False;1;OccurAttrFeaturizer;surname;surname;-0.0
all;incremental;False;1;OccurAttrFeaturizer;surname;birthyear;0.608
all;incremental;False;1;OccurAttrFeaturizer;surname;birthplace;2.7
all;incremental;False;1;OccurAttrFeaturizer;surname;position;0.354
