batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12
32;0.5404297709465027;0.44143182039260864;0.4530583620071411;0.47898152470588684;0.5008079409599304;3.5408437252044678;1.447211503982544;0.4845280349254608;-2.1425853519526453e-41;0.4623425304889679;3.5094335079193115;3.4683773517608643;0.7455596923828125
32;0.5159185528755188;0.4590316116809845;0.4716585874557495;0.4846128821372986;0.5048190355300903;3.571046829223633;1.4631764888763428;0.493263304233551;-2.1425853519526453e-41;0.4760267436504364;3.5645196437835693;3.5112509727478027;0.7290053367614746
33;0.5197234749794006;0.4040527641773224;0.4359630346298218;0.45204246044158936;0.46465855836868286;3.524688243865967;1.4400999546051025;0.46665921807289124;-2.1425853519526453e-41;0.4452002942562103;3.5125977993011475;3.47735857963562;0.7071151733398438
33;0.50307297706604;0.42213496565818787;0.45323115587234497;0.4588850438594818;0.4726395606994629;3.5494258403778076;1.453566074371338;0.47629737854003906;-2.1425853519526453e-41;0.4570941627025604;3.561161994934082;3.5147042274475098;0.7011651396751404
34;0.5305280685424805;0.4132239818572998;0.43508994579315186;0.4647652506828308;0.4712127149105072;3.546501636505127;1.4497145414352417;0.4722746014595032;-2.1425853519526453e-41;0.45842134952545166;3.515974283218384;3.4565532207489014;0.7298988103866577
34;0.5144407153129578;0.4310121536254883;0.4528173804283142;0.47390973567962646;0.4807371497154236;3.5766983032226562;1.4653489589691162;0.4843410551548004;-2.1425853519526453e-41;0.4714885950088501;3.563053607940674;3.495828628540039;0.7194427251815796
35;0.5338714718818665;0.4278312921524048;0.44252920150756836;0.47802188992500305;0.4852425456047058;3.545555591583252;1.4396742582321167;0.4793218672275543;-2.1425853519526453e-41;0.47319209575653076;3.535144567489624;3.4503912925720215;0.7498444318771362
35;0.517356276512146;0.44301608204841614;0.45886409282684326;0.48720473051071167;0.49490872025489807;3.5732696056365967;1.4564381837844849;0.4911331236362457;-2.1425853519526453e-41;0.48322629928588867;3.5816824436187744;3.4926819801330566;0.7395994067192078
36;0.5219212174415588;0.4282611608505249;0.4511672258377075;0.48186013102531433;0.4701334834098816;3.536073923110962;1.4352333545684814;0.4680846333503723;-2.1425853519526453e-41;0.48394906520843506;3.5405571460723877;3.466614246368408;0.737420380115509
36;0.5037742257118225;0.4431854486465454;0.4663861393928528;0.49264344573020935;0.48037606477737427;3.565790891647339;1.4514323472976685;0.4791467785835266;-2.1425853519526453e-41;0.49294033646583557;3.5876059532165527;3.5047671794891357;0.7250127792358398
37;0.5351845026016235;0.4443247318267822;0.4530467987060547;0.4873254597187042;0.4498176574707031;3.532377243041992;1.44668447971344;0.4517435133457184;-2.1425853519526453e-41;0.49367910623550415;3.5321061611175537;3.4823110103607178;0.7357925176620483
37;0.525723397731781;0.46062231063842773;0.46804025769233704;0.49951401352882385;0.4623663127422333;3.5557262897491455;1.46425461769104;0.4640299379825592;-2.1425853519526453e-41;0.5058767795562744;3.5800342559814453;3.528510808944702;0.7263059616088867
38;0.5698814392089844;0.4606741666793823;0.49350008368492126;0.5032946467399597;0.4612120985984802;3.521228551864624;1.4579086303710938;0.4855535924434662;-2.1425853519526453e-41;0.49939072132110596;3.5405068397521973;3.5160038471221924;0.7700096964836121
38;0.555557131767273;0.4778677225112915;0.5055854916572571;0.5144125819206238;0.4733564853668213;3.540785074234009;1.4801092147827148;0.4954245984554291;-2.1425853519526453e-41;0.5114942193031311;3.5774078369140625;3.553339958190918;0.7602940201759338
39;0.5642243027687073;0.49060896039009094;0.497263640165329;0.5284308195114136;0.4726230502128601;3.5099222660064697;1.482846736907959;0.5075041055679321;-2.1425853519526453e-41;0.5103526711463928;3.5423548221588135;3.5289924144744873;0.795595645904541
39;0.5525727272033691;0.5064682960510254;0.5106440782546997;0.5404729247093201;0.4864793121814728;3.5315253734588623;1.5047554969787598;0.519518256187439;-2.1425853519526453e-41;0.521022379398346;3.5806570053100586;3.5663983821868896;0.7894506454467773
40;0.5550614595413208;0.5106850266456604;0.5116066336631775;0.546550989151001;0.48629048466682434;3.5335657596588135;1.4670155048370361;0.5216381549835205;-2.1425853519526453e-41;0.5094194412231445;3.5554301738739014;3.532334327697754;0.7922126650810242
40;0.5461225509643555;0.52264004945755;0.5234941840171814;0.556046724319458;0.49876323342323303;3.5588386058807373;1.489530086517334;0.53416508436203;-2.1425853519526453e-41;0.5164938569068909;3.5936577320098877;3.5683681964874268;0.7811242938041687
41;0.5689529180526733;0.5115647315979004;0.5091745853424072;0.5371066331863403;0.4935035705566406;3.538207769393921;1.4445000886917114;0.5182626247406006;-2.1425853519526453e-41;0.5024060010910034;3.557753086090088;3.530027389526367;0.7840094566345215
41;0.5607024431228638;0.5236064791679382;0.5212135314941406;0.5455277562141418;0.5041104555130005;3.5579819679260254;1.4690135717391968;0.5309226512908936;-2.1425853519526453e-41;0.5115918517112732;3.599522829055786;3.561751127243042;0.7782043218612671
42;0.60127854347229;0.5195930600166321;0.517816424369812;0.5467197895050049;0.5200971961021423;3.541712999343872;1.4415297508239746;0.528999388217926;-2.1425853519526453e-41;0.518510639667511;3.5942234992980957;3.5258681774139404;0.8063576817512512
42;0.5910077691078186;0.5329704284667969;0.5294723510742188;0.5545085072517395;0.5301781892776489;3.5719988346099854;1.4636473655700684;0.5400737524032593;-2.1425853519526453e-41;0.5304582118988037;3.633838176727295;3.5581018924713135;0.8006097078323364
43;0.6081443428993225;0.5218760371208191;0.5141499638557434;0.5557413697242737;0.5361574292182922;3.564588785171509;1.4393720626831055;0.5338939428329468;-2.1425853519526453e-41;0.5283186435699463;3.5979578495025635;3.499926805496216;0.80591881275177
43;0.6002545356750488;0.5330581665039062;0.5240514874458313;0.5614838004112244;0.5442737340927124;3.592432975769043;1.4593931436538696;0.5455214977264404;-2.1425853519526453e-41;0.5397705435752869;3.640504837036133;3.533879041671753;0.803661048412323
44;0.5961464047431946;0.5113165974617004;0.49962642788887024;0.5530955791473389;0.5311853885650635;3.5658063888549805;1.444551706314087;0.5304532051086426;-2.1425853519526453e-41;0.5133375525474548;3.5989878177642822;3.516321897506714;0.796188473701477
44;0.5853121876716614;0.5232508182525635;0.510376513004303;0.562068521976471;0.542097806930542;3.5937743186950684;1.4648094177246094;0.5443888902664185;-2.1425853519526453e-41;0.5261641144752502;3.6376399993896484;3.5503149032592773;0.8005782961845398
45;0.6024100184440613;0.5082207918167114;0.49500149488449097;0.5331516861915588;0.5228065252304077;3.5681333541870117;1.4425705671310425;0.5164173245429993;-2.1425853519526453e-41;0.502412736415863;3.565354347229004;3.5460281372070312;0.7862619161605835
45;0.583517849445343;0.5179958939552307;0.501248300075531;0.5367081165313721;0.5280896425247192;3.585880756378174;1.4557511806488037;0.5261057615280151;-2.1425853519526453e-41;0.5087801814079285;3.596405506134033;3.566915512084961;0.7877563834190369
46;0.5783394575119019;0.5210509896278381;0.5110684037208557;0.5399793386459351;0.5326281189918518;3.5727460384368896;1.47000253200531;0.5408843755722046;-2.1425853519526453e-41;0.5026505589485168;3.563570261001587;3.5669660568237305;0.7774351835250854
46;0.5610228776931763;0.5304855108261108;0.5205714106559753;0.5444082021713257;0.5381061434745789;3.5915255546569824;1.481063723564148;0.5488216280937195;-2.1425853519526453e-41;0.5093967318534851;3.607659339904785;3.589460611343384;0.7800959348678589
47;0.5858613848686218;0.5386536121368408;0.5430880188941956;0.5543654561042786;0.5469355583190918;3.570301055908203;1.490956425666809;0.5613025426864624;-2.1425853519526453e-41;0.5255061388015747;3.5670690536499023;3.5734431743621826;0.7692086100578308
47;0.5732746720314026;0.5461245179176331;0.5517237782478333;0.5571944117546082;0.5530064702033997;3.58974289894104;1.5018103122711182;0.5682597756385803;-2.1425853519526453e-41;0.5298600196838379;3.612018346786499;3.599855422973633;0.7699292302131653
48;0.5858562588691711;0.5301576256752014;0.5405545234680176;0.5564218163490295;0.558854877948761;3.558847188949585;1.4913837909698486;0.5725709795951843;-2.1425853519526453e-41;0.5257243514060974;3.5863332748413086;3.5479917526245117;0.8002126812934875
48;0.5656878352165222;0.5369271636009216;0.5487762689590454;0.5596970319747925;0.5648882985115051;3.584319829940796;1.501036286354065;0.5778764486312866;-2.1425853519526453e-41;0.5289109349250793;3.6286089420318604;3.577409029006958;0.801103413105011
49;0.5899279117584229;0.5300062894821167;0.5268072485923767;0.5531288385391235;0.5517800450325012;3.5381202697753906;1.5064606666564941;0.5615209341049194;-2.1425853519526453e-41;0.49839743971824646;3.5660104751586914;3.518047571182251;0.7926202416419983
49;0.5726128220558167;0.5373546481132507;0.5354408025741577;0.5570517182350159;0.5578905344009399;3.564785957336426;1.5183814764022827;0.5680818557739258;-2.1425853519526453e-41;0.5030786991119385;3.6079280376434326;3.547423839569092;0.7947450876235962
50;0.5707054138183594;0.5041360855102539;0.5108291506767273;0.5370243787765503;0.5258146524429321;3.5120911598205566;1.4916805028915405;0.5337596535682678;-2.1425853519526453e-41;0.48451104760169983;3.5575177669525146;3.5302977561950684;0.7759919166564941
50;0.5542743802070618;0.5148319602012634;0.5217196941375732;0.5414808988571167;0.5326046347618103;3.5391950607299805;1.5059187412261963;0.5408836603164673;-2.1425853519526453e-41;0.4904663860797882;3.6008172035217285;3.5651257038116455;0.781466007232666
51;0.5825920104980469;0.5085695385932922;0.5141189098358154;0.5507190227508545;0.5355634093284607;3.5088624954223633;1.4757544994354248;0.5291716456413269;-2.1425853519526453e-41;0.4895542562007904;3.545199394226074;3.513169765472412;0.8140491247177124
51;0.5664913654327393;0.5191749334335327;0.5234963297843933;0.5556154251098633;0.542571485042572;3.535993814468384;1.49045991897583;0.5374182462692261;-2.1425853519526453e-41;0.495710551738739;3.588780641555786;3.5474178791046143;0.8206597566604614
